id	Desplazamiento	Velocidad	Aceleracion
2.080000	-0.102343	0.379229	4.273708	
2.090000	-0.098338	0.421428	4.143576	
2.100000	-0.093919	0.462233	3.995855	
2.110000	-0.089099	0.501470	3.831034	
2.120000	-0.083895	0.538971	3.649673	
2.130000	-0.078326	0.574572	3.452405	
2.140000	-0.072411	0.608118	3.239931	
2.150000	-0.066171	0.639461	3.013020	
2.160000	-0.059629	0.668459	2.772503	
2.170000	-0.052810	0.694980	2.519274	
2.180000	-0.045738	0.718903	2.254283	
2.190000	-0.038441	0.740114	1.978534	
2.200000	-0.030945	0.758511	1.693082	
2.210000	-0.023280	0.774002	1.399028	
2.220000	-0.015475	0.786506	1.097513	
2.230000	-0.007560	0.795954	0.789716	
2.240000	0.000434	0.802291	0.476850	
2.250000	0.008475	0.805470	0.160153	
2.260000	0.016533	0.805461	-0.159111	
2.270000	0.024574	0.802244	-0.479664	
2.280000	0.032567	0.795812	-0.800213	
2.290000	0.040480	0.786172	-1.119457	
2.300000	0.048280	0.773344	-1.436096	
2.310000	0.055936	0.757360	-1.748832	
2.320000	0.063417	0.738266	-2.056375	
2.330000	0.070691	0.716121	-2.357449	
2.340000	0.077729	0.690996	-2.650799	
2.350000	0.084502	0.662975	-2.935195	
2.360000	0.090980	0.632152	-3.209433	
2.370000	0.097136	0.598637	-3.472349	
2.380000	0.102944	0.562549	-3.722816	
2.390000	0.108379	0.524017	-3.959752	
2.400000	0.113417	0.483182	-4.182125	
2.410000	0.118035	0.440196	-4.388957	
2.420000	0.122214	0.395220	-4.579327	
2.430000	0.125934	0.348422	-4.752378	
2.440000	0.129177	0.299979	-4.907317	
2.450000	0.131929	0.250079	-5.043423	
2.460000	0.134175	0.198912	-5.160047	
2.470000	0.135903	0.146677	-5.256614	
2.480000	0.137105	0.093577	-5.332631	
2.490000	0.137773	0.039821	-5.387683	
2.500000	0.137900	-0.014380	-5.421440	
2.510000	0.137484	-0.068810	-5.433656	
2.520000	0.136524	-0.123253	-5.424172	
2.530000	0.135020	-0.177491	-5.392916	
2.540000	0.132976	-0.231305	-5.339904	
2.550000	0.130396	-0.284479	-5.265240	
2.560000	0.127289	-0.336795	-5.169118	
2.570000	0.123664	-0.388040	-5.051817	
2.580000	0.119533	-0.438004	-4.913706	
2.590000	0.114909	-0.486480	-4.755239	
2.600000	0.109809	-0.533267	-4.576955	
2.610000	0.104250	-0.578168	-4.379476	
2.620000	0.098252	-0.620997	-4.163504	
2.630000	0.091837	-0.661569	-3.929821	
2.640000	0.085029	-0.699713	-3.679281	
2.650000	0.077852	-0.735265	-3.412814	
2.660000	0.070333	-0.768068	-3.131416	
2.670000	0.062500	-0.797980	-2.836150	
2.680000	0.054383	-0.824866	-2.528139	
2.690000	0.046013	-0.848605	-2.208562	
